DayOfWeek,StartTime,EndTime
MONDAY,09:15,12:00
MONDAY,12:15,15:30
MONDAY,16:15,21:30
TUESDAY,08:15,14:00
TUESDAY,14:15,16:00
TUESDAY,16:15,18:00
TUESDAY,18:15,20:00
THURSDAY,09:30,20:30
FRIDAY,08:15,10:00
FRIDAY,10:15,13:45
FRIDAY,14:15,16:00
FRIDAY,16:15,18:00
