id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
534613,Komunikacijski sustavi,KS,0,Babić Katarina,LABORATORIJSKA_VJEZBA,Grupa 1,A126 (TCR),2024-05-29T10:30,2024-05-29T12:00,srijeda 29.5.2024. 10:30 - 12:00 (2 sata),true,EVERY_TWO_WEEKS,do 7.6.2024.,512
532987,Multimedija,Multimedija,0,Russo Mladen,PREDAVANJE,,A302,2024-05-29T12:15,2024-05-29T14:00,srijeda 29.5.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
534628,Multimedija,Multimedija,0,Bašić Martina,LABORATORIJSKA_VJEZBA,,B526,2024-05-29T18:00,2024-05-29T19:30,srijeda 29.5.2024. 18:00 - 19:30 (2 sata),true,WEEKLY,do 7.6.2024.,512
532928,Komunikacijski sustavi,KS,0,Radić Joško,PREDAVANJE,,A104,2024-06-03T09:15,2024-06-03T12:00,ponedjeljak 3.6.2024. 9:15 - 12:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
532940,Komunikacijski sustavi,KS,0,Radić Joško,AUDITORNA_VJEZBA,,A104,2024-06-04T09:15,2024-06-04T11:00,utorak 4.6.2024. 9:15 - 11:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533036,Digitalna tehnika,DT,0,Prvan Marina,PREDAVANJE,,C501,2024-06-04T11:15,2024-06-04T14:00,utorak 4.6.2024. 11:15 - 14:00 (3 sata),true,WEEKLY,do 9.6.2024.,512
537460,Digitalna tehnika,DT,0,Kvesić Julija,LABORATORIJSKA_VJEZBA,Grupa 2,B419,2024-06-04T18:30,2024-06-04T20:00,utorak 4.6.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,512
532988,Multimedija,Multimedija,0,Russo Mladen,PREDAVANJE,,A302,2024-06-05T12:15,2024-06-05T14:00,srijeda 5.6.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
534629,Multimedija,Multimedija,0,Bašić Martina,LABORATORIJSKA_VJEZBA,,B526,2024-06-05T18:00,2024-06-05T19:30,srijeda 5.6.2024. 18:00 - 19:30 (2 sata),true,WEEKLY,do 7.6.2024.,512
533012,Programiranje za internet,PZI,0,Šerić Ljiljana,PREDAVANJE,,A106,2024-06-06T08:15,2024-06-06T10:00,četvrtak 6.6.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
533060,Trgovačko pravo,TP,0,Ćesić Zlatko,PREDAVANJE,,A106,2024-06-06T10:15,2024-06-06T12:00,četvrtak 6.6.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,512
