id, name, shortName, colorId, professor, eventType, groups, classroom, start, end, description, recurring, recurringType, recurringUntil, studyCode
538457,Podržano strojno učenje,PSU,0,Perković Toni,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-04-11T10:00,2024-04-11T12:15,četvrtak 11.4.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 18.4.2024.,250
535335,IP komunikacije,IK,0,Meter Davor,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-04-12T08:00,2024-04-12T09:30,petak 12.4.2024. 8:00 - 9:30 (2 sata),true,WEEKLY,do 7.6.2024.,250
538620,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,KOLOKVIJ,,A100,2024-04-15T18:15,2024-04-15T20:00,ponedjeljak 15.4.2024. 18:15 - 20:00 (2 sata),true,WEEKLY,do 21.4.2024.,250
538623,Podržano strojno učenje,PSU,0,Vasilj Josip,KOLOKVIJ,,A101,2024-04-16T12:15,2024-04-16T14:00,utorak 16.4.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 21.4.2024.,250
538621,Jezici i prevoditelji,JIP,0,Đerek Jurica,KOLOKVIJ,,B525,2024-04-19T10:15,2024-04-19T15:00,petak 19.4.2024. 10:15 - 15:00 (5 sati),true,WEEKLY,do 21.4.2024.,250
538767,IP komunikacije,IK,0,Russo Mladen,KOLOKVIJ,,A302,2024-04-22T12:15,2024-04-22T14:00,ponedjeljak 22.4.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 28.4.2024.,250
538765,Napredne računalne arhitekture,NRA,0,Gotovac Sven,KOLOKVIJ,,A100,2024-04-23T14:15,2024-04-23T16:00,utorak 23.4.2024. 14:15 - 16:00 (2 sata),true,WEEKLY,do 28.4.2024.,250
538764,Metode optimizacije,MO,0,Marasović Jadranka,KOLOKVIJ,,A100,2024-04-25T11:15,2024-04-25T13:00,četvrtak 25.4.2024. 11:15 - 13:00 (2 sata),true,WEEKLY,do 28.4.2024.,250
532059,Kriptografija i mrežna sigurnost,KIMS,0,Čagalj Mario,PREDAVANJE,,C501,2024-04-29T10:15,2024-04-29T12:00,ponedjeljak 29.4.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
534198,Metode optimizacije,MO,0,Bašić Martina,LABORATORIJSKA_VJEZBA,Grupa 1,B420,2024-04-29T18:30,2024-04-29T20:00,ponedjeljak 29.4.2024. 18:30 - 20:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
532144,Podržano strojno učenje,PSU,0,Vasilj Josip,PREDAVANJE,,A243,2024-04-30T08:15,2024-04-30T10:00,utorak 30.4.2024. 8:15 - 10:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532084,Metode optimizacije,MO,0,Marasović Jadranka,PREDAVANJE,,C502,2024-04-30T10:15,2024-04-30T12:00,utorak 30.4.2024. 10:15 - 12:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
532120,IP komunikacije,IK,0,Russo Mladen,PREDAVANJE,,A105,2024-04-30T12:15,2024-04-30T14:00,utorak 30.4.2024. 12:15 - 14:00 (2 sata),true,WEEKLY,do 9.6.2024.,250
535595,Jezici i prevoditelji,JIP,0,Sikora Marjan,LABORATORIJSKA_VJEZBA,Grupa 1,B526,2024-05-02T08:30,2024-05-02T10:00,četvrtak 2.5.2024. 8:30 - 10:00 (2 sata),true,WEEKLY,do 7.6.2024.,250
538989,Podržano strojno učenje,PSU,0,Vasilj Josip,LABORATORIJSKA_VJEZBA,Grupa 1,A507,2024-05-02T10:00,2024-05-02T12:15,četvrtak 2.5.2024. 10:00 - 12:15 (3 sata),true,WEEKLY,do 13.6.2024.,250
